site,hostname,ip_address,position,model,serial_number,port_location,vendor,notes,end_of_sale,end_of_support
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130ZRK     ,,Unknown,Transceiver(slot:10-port:1),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130ZRV     ,,Unknown,Transceiver(slot:10-port:2),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130ZWT     ,,Unknown,Transceiver(slot:10-port:4),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130Z57     ,,Unknown,Transceiver(slot:10-port:5),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130TK1     ,,Unknown,Transceiver(slot:10-port:6),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,JUR19130G5F     ,,Unknown,Transceiver(slot:10-port:25),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,ECL141200YH     ,,Unknown,Transceiver(slot:10-port:26),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,ECL141104JD     ,,Unknown,Transceiver(slot:10-port:36),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,ECL141200YR     ,,Unknown,Transceiver(slot:10-port:48),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/1 Lane 1 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/1 Lane 1 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/1 Lane 1 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/1 Lane 2 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/1 Lane 2 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/1 Lane 2 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/1 Lane 3 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/1 Lane 3 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/1 Lane 3 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/1 Lane 4 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/1 Lane 4 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/1 Lane 4 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/3 Lane 1 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/3 Lane 1 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/3 Lane 1 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/3 Lane 2 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/3 Lane 2 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/3 Lane 2 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/3 Lane 3 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/3 Lane 3 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/3 Lane 3 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/3 Lane 4 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/3 Lane 4 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/3 Lane 4 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/5 Lane 1 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/5 Lane 1 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/5 Lane 1 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/5 Lane 2 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/5 Lane 2 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/5 Lane 2 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/5 Lane 3 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/5 Lane 3 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/5 Lane 3 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/5 Lane 4 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/5 Lane 4 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/5 Lane 4 Transceiver Temperature Sensor,,
