site_name,site_id,circuit_purpose,provider_name,speed,cost,gets_badge,exclusion_reason,wan1_provider,wan2_provider,wan1_arin,wan2_arin,arin_could_help
NCC 40,NCC 40,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,EB2-Windstream Fiber,Charter Communications,Windstream Communications,No
NCC 41,NCC 41,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
NCC 41,NCC 41 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
NCC 42,NCC 42 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,No
NCC 42,NCC 42,Primary,AT&T Broadband II,100.0M x 20.0M,90.00,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,Yes
NCC 43,NCC 43 -B,Secondary,EB2-Windstream Fiber,500.0M x 500.0M,209.00,Yes,Should get badge,EB2-Windstream Fiber,Spectrum,Windstream Communications LLC,Charter Communications,Yes
NCC 43,NCC 43,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,EB2-Windstream Fiber,Spectrum,Windstream Communications LLC,Charter Communications,No
NCC 44,NCC 44,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,VZW Cell,Charter Communications,Private IP,No
NCC 45,NCC 45- B,Secondary,Brightspeed,100.0M x 100.0M,592.00,Yes,Should get badge,Spectrum,Brightspeed,Charter Communications,Level 3 Parent,No
NCC 45,NCC 45- B,Secondary,Brightspeed,100.0M x 100.0M,592.00,Yes,Should get badge,Spectrum,Brightspeed,Charter Communications,Level 3 Parent,No
NCC 45,NCC 45,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,Brightspeed,Charter Communications,Level 3 Parent,No
NCC 45,NCC 45,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,Brightspeed,Charter Communications,Level 3 Parent,No
NCC 46,NCC 46- B,Secondary,Windstream,100.0M x 100.0M,550.00,Yes,Should get badge,Windstream,Spectrum,Windstream Communications LLC,Charter Communications,Yes
NCC 46,NCC 46,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Windstream,Spectrum,Windstream Communications LLC,Charter Communications,No
NCC 47,NCC 47,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,MetroNet,Charter Communications,Metronet,No
