hostname,ip_address,position,model,serial_number,port_location,vendor,notes
IDF-1A-2960X-SecCam.dtc_phx.com,10.0.255.4,Chassis,WS-C2960X-24PS-L,FCW2117B29H,,Cisco,
IDF-1C-2960X-SecCam.dtc_phx.com,10.0.255.6,Chassis,WS-C2960X-24PS-L,FCW2117B29J,,Cisco,
IDF-1B-2960X-SecCam.dtc_phx.com,10.0.255.5,Chassis,WS-C2960X-24PS-L,FCW2117B1BD,,Cisco,
HQ-VG350-02,172.16.4.51,Chassis,VG350/K9,FTX1939A0JH,,Cisco,
,,Module,VG350-SPE150/K9,FOC19313XP6,VG350 High Density Analog Gateway on Slot 0,,
,,Module,PVDM3-256,FOC19337286,PVDM3 DSP DIMM with 256 Channels on Slot 0 SubSlot 4,,
,,Module,SM-D-48FXS-E,FOC19335U7M,High Density Analog Voice Module - 48FXS-E on Slot 2,,
,,Module,SM-D-48FXS-E,FOC19348M9N,High Density Analog Voice Module - 48FXS-E on Slot 4,,
IDF-2A-2960CX-SecCam.dtc_phx.com,10.0.255.7,Chassis,WS-C2960CX-8PC-L,FOC2122Z0V8,,Cisco,
HQ-56128P-01,10.0.255.111,Chassis,N5K-C56128P,FOC2212R0JW,,Cisco,
,,FEX-1,"Fabric Extender Module: 32x10GE, 8x10GE",SSI190406MF,Fex-105 Nexus2232PP-10GE Chassis,Cisco,
,,FEX-2,"Fabric Extender Module: 32x10GE, 8x10GE",SSI190406PC,Fex-106 Nexus2232PP-10GE Chassis,Cisco,
,,FEX-3,"Fabric Extender Module: 32x10GE, 8x10GE",SSI1905004R,Fex-107 Nexus2232PP-10GE Chassis,Cisco,
,,FEX-4,"Fabric Extender Module: 32x10GE, 8x10GE",SSI190406YQ,Fex-108 Nexus2232PP-10GE Chassis,Cisco,
,,FEX-5,"Fabric Extender Module: 32x10GE, 8x10GE",SSI19040A5V,Fex-109 Nexus2232PP-10GE Chassis,Cisco,
,,FEX-6,"Fabric Extender Module: 32x10GE, 8x10GE",SSI19040A5L,Fex-110 Nexus2232PP-10GE Chassis,Cisco,
,,FEX-7,"Fabric Extender Module: 32x10GE, 8x10GE",SSI1820046S,Fex-111 Nexus2232PP-10GE Chassis,Cisco,
,,FEX-8,"Fabric Extender Module: 32x10GE, 8x10GE",SSI182005WX,Fex-112 Nexus2232PP-10GE Chassis,Cisco,
,,FEX-9,"Fabric Extender Module: 48x1GE, 4x10GE",SSI14100CWJ,Fex-113 Nexus2248TP-1GE Chassis,Cisco,
,,FEX-10,"Fabric Extender Module: 48x1GE, 4x10GE",SSI141400J5,Fex-114 Nexus2248TP-1GE Chassis,Cisco,
,,FEX-11,"Fabric Extender Module: 16x10GE, 8x10GE",FOC1648R1EL,Fex-120 Nexus2200DELL Chassis,Cisco,
,,FEX-12,"Fabric Extender Module: 16x10GE, 8x10GE",FOC1652R005,Fex-121 Nexus2200DELL Chassis,Cisco,
,,FEX-13,"Fabric Extender Module: 16x10GE, 8x10GE",FOC1646R08H,Fex-122 Nexus2200DELL Chassis,Cisco,
,,FEX-14,"Fabric Extender Module: 32x10GE, 8x10GE",SSI182005WW,Fex-123 Nexus2232PP-10GE Chassis,Cisco,
,,FEX-15,"Fabric Extender Module: 32x10GE, 8x10GE",SSI182000T9,Fex-124 Nexus2232PP-10GE Chassis,Cisco,
,,FEX-16,"Fabric Extender Module: 16x10GE, 8x10GE",FOC1747R0PN,Fex-125 Nexus2200DELL Chassis,Cisco,
,,Module,N5K-C56128P,FOC22110X9M,Nexus 56128P Supervisor in Fixed Module-1,,
,,Module,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE",FOC19110T4L,"Fex-105 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",,
,,Module,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE",FOC191071L0,"Fex-106 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",,
