site_name,interface,ip_address,provider_name,ip_assignment_status,circuit_type
CAL 43,WAN1,104.52.151.233,AT&T Broadband II,static,DSR
CAL 43,WAN2,68.189.120.98,Spectrum,static,DSR
CAL 44,WAN1,104.52.24.57,AT&T Broadband II,static,DSR
CAL 44,WAN2,24.199.12.162,Spectrum,static,DSR
CAL 46,WAN1,47.176.224.250,EB2-Frontier Fiber,static,DSR
CAL 47,WAN2,72.34.92.210,One Ring Networks,static,Non-DSR
CAL 48,WAN1,98.173.25.45,Cox Communications,static,Non-DSR
CAL 49,WAN1,104.4.217.33,AT&T Broadband II,static,DSR
CAL 49,WAN2,24.199.63.18,Spectrum,static,DSR
CAL 50,WAN1,137.27.200.110,Spectrum,static,DSR
CAL 50,WAN2,47.180.4.158,EB2-Frontier Fiber,static,DSR
CAN 02,WAN1,23.118.223.49,AT&T Broadband II,static,DSR
CAN 03,WAN1,162.225.208.9,AT&T Broadband II,static,DSR
CAN 03,WAN2,50.196.146.221,Comcast Workplace,static,DSR
CAN 04,WAN1,96.76.217.185,Comcast Workplace,static,DSR
CAN 05,WAN1,50.209.152.21,Comcast Workplace,static,DSR
CAN 05,WAN2,108.95.164.233,AT&T Broadband II,static,DSR
CAN 07,WAN1,75.147.239.149,Comcast Workplace,static,DSR
CAN 10,WAN1,96.71.242.65,Comcast Workplace,static,DSR
CAN 10,WAN2,23.118.222.113,AT&T Broadband II,static,DSR
CAN 11,WAN1,173.13.137.81,Comcast Workplace,static,DSR
CAN 12,WAN1,204.11.231.174,DSR Etheric FixedWireless,static,Non-DSR
CAN 13,WAN1,50.250.224.109,Comcast Workplace,static,DSR
CAN 13,WAN2,108.218.206.17,AT&T Broadband II,static,DSR
CAN 14,WAN1,172.1.57.65,AT&T Broadband II,static,DSR
CAN 14,WAN2,50.208.43.185,Comcast Workplace,static,DSR
CAN 15,WAN1,45.19.142.201,AT&T Broadband II,static,DSR
CAN 16,WAN1,47.176.225.2,Frontier Communications,static,Non-DSR
CAN 17,WAN1,75.144.253.237,Comcast Workplace,static,DSR
CAN 17,WAN2,104.2.149.17,AT&T Broadband,static,DSR
CAN 18,WAN1,162.198.215.73,AT&T Broadband II,static,DSR
CAN 19,WAN1,68.189.91.250,Spectrum,static,DSR
CAN 19,WAN2,107.203.64.209,AT&T Broadband II,static,DSR
