Site Name,Current WAN1,Future WAN1,WAN1 Change,Current WAN2,Future WAN2,WAN2 Change,Fix Type
FLG 02,nOcala Fiber Network n (300.0M x 300.0M),Ocala Fiber Network (300.0M x 300.0M),✓ CHANGED,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLG 03,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (500.0M x 30.0M),Comcast Workplace (500.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
Flight Department - Pilot,nCox Communications (),Cox Communications (),✓ CHANGED,(empty),(empty),,Provider Name Fix
FLJ_00,nComcast n (300.0M x 30.0M),Comcast (300.0M x 30.0M),✓ CHANGED,nAT&T n (300.0M x 300.0M),AT&T (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLJ 01,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLJ 03,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLJ 05,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLJ 06,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLJ 07,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLJ 09,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLJ 10,nComcast Workplace n (750.0M x 35.0M),Comcast Workplace (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLJ 11,nAT&T Broadband II n (500.0M x 100.0M),AT&T Broadband II (500.0M x 100.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLM 01,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLM 02,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLO 01,(empty),(empty),,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix
FLO 02,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLO 03,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLO 05,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,Starlink (Satellite),Starlink (Satellite),,Provider Name Fix
FLO 06,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
