site_name,site_id,circuit_purpose,circuit_provider,circuit_speed,circuit_cost,circuit_ip,status,data_source,meraki_wan1_provider,meraki_wan1_speed,meraki_wan1_ip,wan1_arin_provider,meraki_wan2_provider,meraki_wan2_speed,meraki_wan2_ip,wan2_arin_provider,has_meraki_device,has_dt_tag,exclusion_reason,provider_match,wan1_arin_match,wan2_arin_match,would_get_dsr_badge
AZP 10,AZP 10,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,98.174.224.236,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,98.174.224.236,Cox Communications,Digi,Cell,192.168.2.185,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 11,AZP 11,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,98.172.73.114,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,98.172.73.114,Cox Communications,Digi,Cell,192.168.2.159,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 13,AZP 13,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,184.183.11.229,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,184.183.11.229,Cox Communications,VZW Cell,Cell,192.168.2.122,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 14,AZP 14,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,70.175.28.153,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,70.175.28.153,Cox Communications,VZW Cell,Cell,166.253.101.116,Verizon,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 16,AZP 16,Primary,Cox Business/BOI,300.0M x 30.0M,387.24,184.183.2.94,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,184.176.152.208,Cox Communications,Digi,Cell,192.168.2.106,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 17,AZP 17,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,24.248.0.187,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,24.248.0.187,Cox Communications,VZW Cell,Cell,192.168.0.151,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 18,AZP 18,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,184.181.22.14,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,184.181.22.14,Cox Communications,EB2-CenturyLink DSL,80.0M x 10.0M,67.40.67.153,CenturyLink,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 18,AZP 18 -B,Secondary,EB2-CenturyLink DSL,80.0M x 10.0M,128.00,67.40.67.153,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,184.181.22.14,Cox Communications,EB2-CenturyLink DSL,80.0M x 10.0M,67.40.67.153,CenturyLink,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 19,AZP 19,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,184.190.7.139,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,184.190.7.139,Cox Communications,Digi,Cell,192.168.2.123,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 20,AZP 20,Primary,Saddleback Communications,300.0M x 80.0M,618.75,208.77.60.230,Enabled,csv_import,Saddleback Communications,300.0M x 80.0M,208.77.60.230,Saddleback Communications,VZW Cell,Cell,192.168.0.151,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 21,AZP 21,Primary,Cox Business/BOI,100.0M x 20.0M,220.22,68.14.227.137,Enabled,csv_import,Cox Business/BOI,100.0M x 20.0M,98.174.240.157,Cox Communications,CenturyLink/Embarq,80.0M x 10.0M,67.42.35.212,CenturyLink,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 21,AZP 21,Secondary,CenturyLink/Embarq,80.0M x 10.0M,209.99,67.42.35.209,Enabled,csv_import,Cox Business/BOI,100.0M x 20.0M,98.174.240.157,Cox Communications,CenturyLink/Embarq,80.0M x 10.0M,67.42.35.212,CenturyLink,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 22,AZP 22,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,70.177.10.244,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,70.177.10.244,Cox Communications,EB2-Centurylink DSL,100.0M x 10.0M,65.103.195.225,"Ocotillo Technologies, Inc.",Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
