Site Name,Site ID,Circuit Purpose,DSR Provider,ARIN Provider,Match Status,Match Score,DSR Speed,DSR Cost,Meraki Notes (Parsed),WAN1 Notes Provider,WAN1 Notes Speed,WAN2 Notes Provider,WAN2 Notes Speed,DSR IP,Matched WAN Port,WAN1 IP,WAN1 ARIN Provider,WAN2 IP,WAN2 ARIN Provider
CON 03,CON 03- B,Secondary,FORT COLLINS CONNEXION,AT&T,No Match,25,500.0M x 500.0M,$199.95,WAN 1 | FORT COLLINS CONNEXION | 500.0M x 500.0M | WAN 2 | Comcast Workplace | 500.0M x 30.0M,FORT COLLINS CONNEXION,500.0M x 500.0M,Comcast Workplace,500.0M x 30.0M,198.99.82.203,WAN1,198.99.82.203,AT&T,70.89.171.149,Comcast
FLJ 00,FLJ 00,Primary,Comcast Workplace,,No Match,0,300.0M x 30.0M,$175.56,,,,,,96.76.16.49,Unknown,,,,
FLJ 00,FLJ 00 -B,Secondary,AT&T Broadband II,,No Match,0,300.0M x 300.0M,$105.01,,,,,,99.27.27.113,Unknown,,,,
FLJ 09,FLJ 09,Primary,Comcast Workplace,Cisco Test,No Match,47,300.0M x 30.0M,$175.56,WAN 1 | AT&T Broadband II | 300.0M x 300.0M | WAN 2 | Comcast Workplace | 300.0M x 30.0M,AT&T Broadband II,300.0M x 300.0M,Comcast Workplace,300.0M x 30.0M,173.8.36.41,WAN2,99.27.29.17,AT&T,173.8.36.41,Cisco Test
FLP 03,FLP 03,Primary,Mediacom/BOI,AT&T,No Match,25,300.0M x 20.0M,$244.69,WAN 1 | AT&T Broadband II | 300.0M x 300.0M | WAN 2 | 300.0M x 20.0M,AT&T Broadband II,300.0M x 300.0M,,300.0M x 20.0M,72.255.76.90,Unknown,104.61.207.4,AT&T,,
GAA 00,GAA 00,Primary,AT&T Broadband II,,No Match,0,1000.0M x 1000.0M,$165.01,,,,,,64.109.201.225,Unknown,,,,
GAA 00,GAA 00 -B,Secondary,Comcast Workplace,,No Match,0,750.0M x 35.0M,$234.45,,,,,,173.15.209.109,Unknown,,,,
GAA 10,GAA 10- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 30.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 30.0M,162.195.253.1,WAN1,162.195.253.1,AT&T,96.77.85.21,Comcast
GAA 12,GAA 12- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,104.188.254.185,WAN1,104.188.254.185,AT&T,96.73.252.173,Comcast
GAA 13,GAA 13- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 30.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 30.0M,76.216.69.1,WAN1,76.216.69.1,AT&T,96.77.71.133,Comcast
GAA 15,GAA 15- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,162.205.233.145,WAN1,162.205.233.145,AT&T,96.77.64.1,Comcast
GAA 18,GAA 18- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,107.130.210.65,WAN1,107.130.210.65,AT&T,96.73.223.85,"Comcast Cable Communications, LLC"
GAA 21,GAA 21- B,Secondary,"Comcast Cable Communications, LLC",AT&T,No Match,50,1000.0M x 1000.0M,$165.01,"WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast Cable Communications, LLC",AT&T Broadband II,1000.0M x 1000.0M,Comcast Cable Communications LLC,,108.209.103.225,WAN1,108.209.103.225,AT&T,96.73.249.37,Comcast
GAA 27,GAA 27- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast,AT&T Broadband II,1000.0M x 1000.0M,Comcast,,162.235.50.185,WAN1,162.235.50.185,AT&T,96.67.122.225,Comcast
GAA 30,GAA 30- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,107.216.87.73,WAN1,107.216.87.73,AT&T,96.73.252.169,Comcast
GAACALLCTR,GAACALLCTR,Primary,Spectrum,,No Match,0,750.0M x 35.0M,$244.45,,,,,,47.46.162.82,Unknown,,,,
GAACALLCTR,GAACALLCTR -B,Secondary,AT&T Broadband II,,No Match,0,300.0M x 300.0M,$105.01,,,,,,104.184.151.49,Unknown,,,,
IAC 01,IAC 01- B,Secondary,EB2-Lumen DSL,Mediacom Communications Corporation,No Match,36,140.0M x 20.0M,$151.00,WAN 1 | Mediacom Communications Corporation | 1000.0M x 30.0M | WAN 2 | EB2-Lumen DSL | 140.0M x 20.0M,Mediacom Communications Corporation,1000.0M x 30.0M,EB2-Lumen DSL,140.0M x 20.0M,63.228.164.113,Unknown,45.59.13.82,Mediacom Communications Corporation,63.152.70.173,CenturyLink
IAQ 02,IAQ 02 -B,Secondary,MetroNet,DVNPIAAAG03 public /32 pools,No Match,18,300.0M x 300.0M,$129.95,WAN 1 | Mediacom Communications Corporation | 1000.0M x 30.0M | WAN 2 | MetroNet | 300.0M x 300.0M,Mediacom Communications Corporation,1000.0M x 30.0M,MetroNet,300.0M x 300.0M,195.252.226.122,WAN2,72.255.79.154,Mediacom Communications Corporation,195.252.226.122,DVNPIAAAG03 public /32 pools
IAS 01,IAS 01,Primary,Sparklight,"CABLE ONE, INC.",No Match,30,300.0M x 30.0M,$248.75,WAN 1 | MetroNet | 1000.0M x 1000.0M | WAN 2 | Sparklight | 300.0M x 30.0M,MetroNet,1000.0M x 1000.0M,Sparklight,300.0M x 30.0M,24.119.182.98,WAN2,149.154.3.162,Metronet,24.119.182.98,"CABLE ONE, INC."
ILC00,ILC00,Primary,Comcast Workplace,,No Match,0,300.0M x 30.0M,$175.56,,,,,,96.74.249.185,Unknown,,,,
ILC00,ILC00 -B,Secondary,AT&T Broadband II,,No Match,0,300.0M x 300.0M,$105.01,,,,,,107.209.6.145,Unknown,,,,
ILC 01,ILC 01- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,104.12.155.57,WAN1,104.12.155.57,AT&T,96.74.211.233,Comcast
ILC 06,ILC 06- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,108.91.15.137,WAN1,108.91.15.137,AT&T,74.94.114.85,Comcast
ILC 15,ILC 15- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast,AT&T Broadband II,1000.0M x 1000.0M,Comcast,,172.125.39.129,WAN1,172.125.39.129,AT&T,96.74.202.21,Comcast
ILC 18,ILC 18- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,107.200.191.1,WAN1,107.200.191.1,AT&T,96.74.204.97,Comcast
ILC 19,ILC 19- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,162.229.147.233,WAN1,162.229.147.233,AT&T,96.74.149.133,Comcast
ILC 29,ILC 29- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,107.223.63.169,WAN1,107.223.63.169,AT&T,75.149.203.125,Comcast
ILC 31,ILC 31- B,Secondary,Comcast Workplace,345200 DUNKIN DONUTS,No Match,22,750.0M x 35.0M,$234.45,WAN 1 | Comcast Workplace | 750.0M x 35.0M | WAN 2 | Starlink | Satellite,Comcast Workplace,750.0M x 35.0M,Starlink Satellite,,50.194.121.125,WAN1,50.194.121.125,345200 DUNKIN DONUTS,143.105.12.49,"SpaceX Services, Inc."
ILR01,ILR01,Primary,Comcast Workplace,,No Match,0,750.0M x 35.0M,$234.45,,,,,,74.94.116.73,Unknown,,,,
ILX 01,ILX 01,Primary,Comcast Workplace,,No Match,0,300.0M x 30.0M,$186.18,,,,,,173.165.103.213,Unknown,,,,
INE 01,INE 01,Primary,Astound,RCN,No Match,40,500.0M x 20.0M,$89.95,WAN 1 | Astound | 500.0M x 20.0M | WAN 2 | AT&T Broadband II | 300.0M x 300.0M,Astound,500.0M x 20.0M,AT&T Broadband II,300.0M x 300.0M,207.180.180.10,WAN1,207.180.180.10,RCN,107.192.163.33,AT&T
INF 04,INF 04,Primary,GTT Ethernet,Frontier Communications,No Match,35,200.0M x 200.0M,$177.66,WAN 1 | GTT Ethernet | 200.0M x 200.0M | WAN 2 | EB2-Frontier Fiber | 500.0M x 500.0M,GTT Ethernet,200.0M x 200.0M,EB2-Frontier Fiber,500.0M x 500.0M,50.102.128.2,Unknown,50.102.128.90,Frontier Communications,184.18.167.18,Frontier Communications
INI_00,,Primary,DSR Cincinnati Bell ADSL,Altafiber,No Match,57,400.0M x 200.0M,,WAN 1 | DSR Cincinnati Bell ADSL | 400.0M x 200.0M | WAN 2 | Charter Communications | 600.0M x 35.0M,Cincinnati Bell ADSL,400.0M x 200.0M,Charter Communications,600.0M x 35.0M,,Unknown,66.42.186.206,Altafiber,71.66.89.90,Charter Communications
INIW00,INIW00,Primary,Comcast Workplace,,No Match,0,300.0M x 30.0M,$186.18,,,,,,50.195.198.237,Unknown,,,,
INIW00,INIW00 -B,Secondary,AT&T Broadband II,,No Match,0,300.0M x 300.0M,$105.01,,,,,,99.33.34.9,Unknown,,,,
INW 01,INW 01- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,99.39.182.185,WAN1,99.39.182.185,AT&T,96.74.215.229,Comcast
