site_name,site_id,circuit_purpose,provider_name,speed,cost,matched_meraki_name,name_match_type,gets_badge,exclusion_reason,wan1_provider,wan2_provider,wan1_arin,wan2_arin,arin_could_help
WDIL01,WDIL01,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,,No match,No,1. No Meraki device,,,,,No
WDTD01,WDTD01,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.00,,No match,No,1. No Meraki device,,,,,No
AZP 00,AZP000,Primary,Cox Business/BOI,300.0M x 30.0M,387.24,AZP_00,Space to underscore,No,2. No Discount-Tire tag,Cox Communications,Digi,Cox Communications,Private IP,Yes
COX 01,WDCO01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,COX 01,Exact,No,2. No Discount-Tire tag,,Comcast Workplace,,Comcast,Yes
COX 01,WDCO01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,COX 01,Exact,No,2. No Discount-Tire tag,,Comcast Workplace,AT&T,Comcast,Yes
FLJ 00,FLJ 00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,FLJ_00,Space to underscore,No,2. No Discount-Tire tag,Comcast,AT&T,Comcast,AT&T,Yes
FLJ 00,FLJ 00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,FLJ_00,Space to underscore,No,2. No Discount-Tire tag,Comcast,AT&T,Comcast,AT&T,Yes
GAA 00,GAA 00,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,GAA_00,Space to underscore,No,2. No Discount-Tire tag,AT&T,Comcast,AT&T,Comcast,Yes
GAA 00,GAA 00 -B,Secondary,Comcast Workplace,600.0M x 35.0M,234.45,GAA_00,Space to underscore,No,2. No Discount-Tire tag,AT&T,Comcast,AT&T,Comcast,Yes
MIAC02,MIAC02,Primary,AT&T Broadband II,1000.0M x 200.0M,165.00,MIAC02,Exact,No,2. No Discount-Tire tag,AT&T Broadband II,Digi,AT&T,AT&T,Yes
MIL 00,MIL 00,Primary,Comcast Workplace,250.0M x 25.0M,186.18,MIL 00,Exact,No,2. No Discount-Tire tag,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MIL 00,MIL 00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,MIL 00,Exact,No,2. No Discount-Tire tag,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
MNM 00,MNM 00 New,Primary,Comcast Workplace,600.0M x 35.0M,234.45,MNM_00,Space to underscore,No,2. No Discount-Tire tag,Comcast,Digi,VISTA TECHNOLOGIES,AT&T,No
MOS 00,MOS 00-B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,MOS_00,Space to underscore,No,2. No Discount-Tire tag,Charter Communications,AT&T,Charter Communications,AT&T,Yes
MOS 00,MOS 00,Primary,Spectrum,600.0M x 35.0M,172.23,MOS_00,Space to underscore,No,2. No Discount-Tire tag,Charter Communications,AT&T,Charter Communications,AT&T,No
NMAW00,NMAW00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,NMAW00,Exact,No,2. No Discount-Tire tag,Comcast Workplace,Digi,Comcast,AT&T,Yes
TXD 00,TXD 00,Primary,Spectrum,600.0M x 35.0M,244.45,TXD_00,Space to underscore,No,2. No Discount-Tire tag,DSR Road Runner BOC ||,,Charter Communications,Private IP,No
TXH SE Flex DTU,TXH SE Flex DTU,Primary,Comcast Workplace,600.0M x 35.0M,234.45,TXH SE Flex DTU,Exact,No,2. No Discount-Tire tag,Comcast Workplace,,Private IP,,No
TXS 00,TXS 00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,TXS_00,Space to underscore,No,2. No Discount-Tire tag,Private Customer - AT&T Internet Services,Charter Communications Inc,AT&T,Charter Communications,Yes
UTS 00,UTS 00,Primary,Zayo Communications,100.0M x 100.0M,495.00,UTS_00,Space to underscore,No,2. No Discount-Tire tag,Discount Tire - UTS 00,VZW Cell,Verizon,Private IP,No
VAR 00,VAR 00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,VAR_00,Space to underscore,No,2. No Discount-Tire tag,Comcast,Digi,Comcast,Private IP,Yes
VAR 02,VAR 02,Primary,Comcast Workplace,200.0M x 20.0M,134.45,VAR 02,Exact,No,2. No Discount-Tire tag,Comcast Workplace,VZW Cell,,,No
LAB 01,LAB 01,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,LAB 01,Exact,No,3. Lab site,: Cox Business/BOI,: REV Business,Cox Communications,IBM Cloud,Yes
LAB 01,LAB 01 -B,Secondary,REV Business,100.0M x 100.0M,100.00,LAB 01,Exact,No,3. Lab site,: Cox Business/BOI,: REV Business,Cox Communications,IBM Cloud,No
LAB 02,LAB 02 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,LAB 02,Exact,No,3. Lab site,: Cox Business/BOI,: AT&T Broadband II,Cox Communications,AT&T,Yes
