Site Name,Site ID,Circuit Purpose,DSR Provider,ARIN Provider,Notes Provider,Match Status,Match Score,Match Source,Match Reason,DSR Speed,DSR Cost
TXHT00,,Primary,Comcast,Comcast,Comcast,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,
TXH Training,TXH Training,Primary,Comcast Workplace,,,No Match,0,,No match found,300.0M x 30.0M,$175.56
TXHW00,TXHW00,Primary,Comcast Workplace,,,No Match,0,,No match found,750.0M x 35.0M,$234.45
TXHW00,TXHW00 -B,Secondary,AT&T Broadband II,,,No Match,0,,No match found,300.0M x 300.0M,$105.01
TXL 01,TXL 01,Primary,Altice West,Optimum,Altice West,Match,100,ARIN (mapped),Mapped match with ARIN,500.0M x 50.0M,$222.23
TXL 01,TXL 01- B,Secondary,Vexus,Vexus Fiber,Vexus,Match,100,ARIN,Direct match with ARIN,250.0M x 250.0M,$99.99
TXL 02,TXL 02,Primary,Altice,Optimum,Altice,Match,95,Notes,Direct match with notes,500.0M x 50.0M,$212.77
TXL 02,TXL 02 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXL 03,TXL 03,Primary,Altice,Optimum,Altice,Match,95,Notes,Direct match with notes,500.0M x 50.0M,$212.77
TXL 03,TXL 03 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXL 04,TXL 04,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXL 04,TXL 04,Secondary,Vexus Fiber,Vexus Fiber,Vexus Fiber,Match,100,ARIN,Direct match with ARIN,350.0M x 350.0M,$149.99
TXL 05,TXL 05,Primary,Vexus,Vexus Fiber,Vexus,Match,100,ARIN,Direct match with ARIN,550.0M x 275.0M,$199.99
TXL 05,TXL 05 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXM 01,TXM 01,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXM 02,TXM 02,Primary,Altice,Optimum,Altice,Match,95,Notes,Direct match with notes,500.0M x 50.0M,$212.77
TXM 02,TXM 02 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXM 03,TXM 03,Primary,Altice,Private IP,Altice,Match,95,Notes,Direct match with notes,300.0M x 30.0M,$170.22
TXM 03,TXM 03 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXN 01,TXN 01,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
TXN 01,TXN 01 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXO 01,TXO 01,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 200.0M,$165.00
TXO 01,TXO 01 -B,Secondary,EB2-CableOne Cable,"CABLE ONE, INC.",EB2-CableOne Cable,Match,95,Notes,Direct match with notes,300.0M x 30.0M,$335.00
TXO 02,TXO 02,Primary,Cable One ,"CABLE ONE, INC.",Cable One,Match,95,Notes,Direct match with notes,300.0M x 50.0M,$229.99
TXO 02,TXO 02 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 00,TXS 00 -B,Secondary,AT&T Broadband II,,,No Match,0,,No match found,300.0M x 300.0M,$105.01
TXS000,TXS 00,Primary,Spectrum,,,No Match,0,,No match found,750.0M x 35.0M,$244.45
TXS 02,TXS 02,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
TXS 02,TXS 02 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 05,TXS 05,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,1000.0M x 50.0M,$355.56
TXS 05,TXS 05 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 06,TXS 06,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
TXS 06,TXS 06 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 07,TXS 07,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
TXS 07,TXS 07 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 08,TXS 08,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,1000.0M x 50.0M,$355.56
TXS 09,TXS 09,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$240.04
TXS 09,TXS 09 -B,Secondary,Spectrum,STARBUCKS,Spectrum,Match,95,Notes,Direct match with notes,750.0M x 35.0M,$172.23
TXS 11,TXS 11,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
TXS 11,TXS 11- B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXS 12,TXS 12,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
TXS 13,TXS 13 -B,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
TXS 13,TXS 13,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 14,TXS 14,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
TXS 14,TXS 14- B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
TXS 15,TXS 15,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
TXS 15,TXS 15 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 16,TXS 16,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,600.0M x 35.0M,$172.23
TXS 16,TXS 16 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 17,TXS 17,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
TXS 17,TXS 17 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 18,TXS 18,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
TXS 18,TXS 18 -B,Secondary,EB2-Windstream Fiber,Windstream Communications LLC,EB2-Windstream Fiber,Match,95,Notes,Direct match with notes,500.0M x 500.0M,$209.00
TXS 19,TXS 19,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
TXS 19,TXS 19 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 20,TXS 20,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
TXS 20,TXS 20 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 21,TXS 21,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
TXS 21,TXS 21 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 22,TXS 22,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
TXS 22,TXS 22 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
TXS 23,TXS 23,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
