site_name,site_id,circuit_purpose,dsr_provider,dsr_speed,dsr_cost,dsr_ip,meraki_wan1_provider,wan1_ip,wan1_arin_provider,meraki_wan2_provider,wan2_ip,wan2_arin_provider,current_match,normalized_dsr_provider,normalized_wan1_arin,normalized_wan2_arin,wan1_arin_matches_dsr,wan2_arin_matches_dsr
COD 36,COD 36,Primary,Comcast Workplace,300.0M x 30.0M,175.56,50.189.32.85,Comcast Workplace,50.189.32.85,Comcast,CenturyLink,67.41.196.217,CenturyLink,WAN1,comcast,comcast,centurylink,Yes,No
COD 37,COD 37,Primary,Comcast Workplace,250.0M x 25.0M,186.18,50.246.196.57,Comcast Workplace,50.246.196.57,Comcast,VZW Cell,192.168.0.151,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 38,COD 38,Secondary,CenturyLink/Qwest,100.0M x 10.0M,169.99,63.229.225.1,CenturyLink,63.229.225.1,CenturyLink,Digi,192.168.2.103,Private IP,No Match,centurylink,centurylink,private,Yes,No
COD 39,COD 39,Primary,Comcast Workplace,250.0M x 25.0M,186.18,96.84.240.97,Comcast Workplace,96.84.240.97,Comcast,VZW Cell,192.168.0.151,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 40,COD 40,Primary,Comcast Workplace,250.0M x 25.0M,186.18,71.24.134.221,Comcast Workplace,71.24.134.221,Comcast,VZW Cell,192.168.0.151,Private IP,WAN1,comcast,comcast,private,Yes,No
COD 42,COD 42,Primary,Comcast Workplace,600.0M x 35.0M,234.45,23.24.156.189,Comcast Workplace,23.24.156.189,Comcast,VZW Cell,192.168.0.152,Private IP,WAN1,comcast,comcast,private,Yes,No
COG 01,COG 01,Primary,Spectrum,600.0M x 35.0M,172.23,69.145.255.206,Spectrum,69.145.255.206,Charter Communications,EB2-Centurylink DSL,67.40.42.209,CenturyLink,WAN1,spectrum,spectrum,centurylink,Yes,No
COG 01,COG 01- B,Secondary,EB2-Centurylink DSL,80.0M x 10.0M,128.00,67.40.42.209,Spectrum,69.145.255.206,Charter Communications,EB2-Centurylink DSL,67.40.42.209,CenturyLink,WAN2,centurylink,spectrum,centurylink,No,Yes
COG 02,COG 02,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.198.210.201,Comcast,50.198.210.201,Comcast,Community Broadband Network,74.114.7.176,Glenwood Springs Community Broadband Network,No Match,comcast,comcast,glenwood,Yes,No
COG 02,COG 02- B,Secondary,Community Broadband Network,100.0M x 100.0M,105.00,74.114.7.176,Comcast,50.198.210.201,Comcast,Community Broadband Network,74.114.7.176,Glenwood Springs Community Broadband Network,WAN2,community,comcast,glenwood,No,No
COG 03,COG 03,Primary,Spectrum,600.0M x 35.0M,244.45,47.47.138.238,Spectrum,47.47.138.238,Charter Communications,AT&T Cell,192.168.2.188,Private IP,WAN1,spectrum,spectrum,private,Yes,No
CON 02,CON 02,Primary,Comcast Workplace,250.0M x 25.0M,186.18,50.250.132.165,Comcast Workplace,50.250.132.165,Comcast,AT&T Cell,192.168.2.169,Private IP,WAN1,comcast,comcast,private,Yes,No
CON 03,CON 03,Primary,Comcast Workplace,300.0M x 30.0M,175.56,70.89.171.149,FORT COLLINS CONNEXION,198.99.82.203,AT&T,Comcast Workplace,70.89.171.149,Comcast,WAN2,comcast,at&t,comcast,No,Yes
CON 03,CON 03- B,Secondary,FORT COLLINS CONNEXION,500.0M x 500.0M,199.95,198.99.82.203,FORT COLLINS CONNEXION,198.99.82.203,AT&T,Comcast Workplace,70.89.171.149,Comcast,WAN1,fort,at&t,comcast,No,No
COP 02,COP 02,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.198.220.193,Comcast Workplace,50.198.220.193,Comcast,AT&T Cell,192.168.2.139,Private IP,WAN1,comcast,comcast,private,Yes,No
