site_name,site_id,circuit_purpose,circuit_provider,circuit_speed,circuit_cost,circuit_ip,status,data_source,meraki_wan1_provider,meraki_wan1_speed,meraki_wan1_ip,meraki_wan2_provider,meraki_wan2_speed,meraki_wan2_ip,has_meraki_device,has_dt_tag,exclusion_reason,provider_match,would_get_dsr_badge
LAB 06,LAB 06,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,99.76.204.153,Enabled,csv_import,: AT&T Broadband II,1000.0M x 1000.0M,99.76.204.153,: Cox Business/BOI,300.0M x 30.0M,98.185.13.102,Yes,Yes,Lab site,No match,No
LAB 06,LAB 06- B,Secondary,Cox Business/BOI,300.0M x 30.0M,266.67,98.185.13.102,Enabled,csv_import,: AT&T Broadband II,1000.0M x 1000.0M,99.76.204.153,: Cox Business/BOI,300.0M x 30.0M,98.185.13.102,Yes,Yes,Lab site,No match,No
MIA00,MIA00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.252.88.137,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
MIAC02,MIAC02,Primary,AT&T Broadband II,1000.0M x 200.0M,165.00,108.85.98.249,Enabled,csv_import,AT&T Broadband II,1000.0M x 200.0M,108.85.98.249,Digi,Cell,192.168.2.210,Yes,No,No Discount-Tire tag,Exact match WAN1,No
MIHW00,MIHW00,Primary,Comcast Workplace,250.0M x 25.0M,186.18,173.167.236.165,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
MIL 00,MIL 00,Primary,Comcast Workplace,250.0M x 25.0M,186.18,173.15.250.73,Enabled,csv_import,Comcast Workplace,250.0M x 25.0M,173.15.250.73,AT&T Broadband II,300.0M x 300.0M,107.130.140.97,Yes,No,No Discount-Tire tag,Exact match WAN1,No
MIL 00,MIL 00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,107.130.140.97,Enabled,csv_import,Comcast Workplace,250.0M x 25.0M,173.15.250.73,AT&T Broadband II,300.0M x 300.0M,107.130.140.97,Yes,No,No Discount-Tire tag,Exact match WAN2,No
MNM 00,MNM 00 New,Primary,Comcast Workplace,600.0M x 35.0M,234.45,173.165.242.141,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
MNM 09 -B,MNM 09 -B,Secondary,Comcast Workplace,600.0M x 35.0M,234.45,NaN,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
MNMW01,MNMW01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.211.20.237,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
MOS 00,MOS 00,Primary,Spectrum,600.0M x 35.0M,172.23,24.182.253.114,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
MOS 00,MOS 00-B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,75.36.177.1,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
MOS 12,MOS 12 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,162.203.66.113,Enabled,csv_import,Private Customer - AT&T Internet Services,600.0M x 35.0M,162.203.66.114,Spectrum,1000.0M x 1000.0M,47.50.179.106,Yes,Yes,Eligible,No match,No
MOS XX,MOS XX,Primary,Spectrum,600.0M x 35.0M,172.23,47.50.140.114,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
MOS XX,MOS XX -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,108.192.139.225,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
NCC00,NCC00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,45.23.77.145,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
NCC 35,NCC 35,Primary,Altice,500.0M x 50.0M,212.77,208.180.149.183,Enabled,csv_import,Metronet,500.0M x 50.0M,75.110.68.57,Metronet,300.0M x 300.0M,100.104.231.236,Yes,Yes,Eligible,No match,No
NCC W00,NCC W00,Primary,Spectrum,600.0M x 35.0M,244.45,66.57.166.218,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
NMA00,NMA00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,96.64.151.241,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
NMA00,NMA00- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,168.103.98.137,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
NMA Call Center,NMA Call Center,Primary,Comcast Workplace,600.0M x 35.0M,234.45,74.92.206.225,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
NMAW00,NMAW00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,96.92.78.213,Enabled,csv_import,Comcast Workplace,600.0M x 35.0M,96.92.78.213,Digi,Cell,107.80.188.250,Yes,No,No Discount-Tire tag,Exact match WAN1,No
NNM 09,NNM 09,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.249.116.145,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
NVL000,NVL000,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,24.234.187.243,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
NVLW 01,NVLW 01,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,24.120.171.73,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
OKA 01,OKA 01,Primary,SparkLight,300.0M x 30.0M,224.99,159.118.225.250,Enabled,csv_import,AT&T Broadband II,300.0M x 30.0M,159.118.225.250,AT&T Broadband II,300.0M x 300.0M,104.7.187.169,Yes,Yes,Eligible,No match,No
OKO00,OKO00,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,68.228.123.109,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
TNN00,TNN00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,96.69.101.185,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
TNN00,TNN00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,162.203.252.161,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
TXA 20,TXA 20- B,Secondary,Vyve,250.0M x 25.0M,165.90,24.54.120.229,Enabled,csv_import,Spectrum,600.0M x 35.0M,192.168.1.138,NORTHLAND CABLE TELEVISION INC.,,,Yes,Yes,Eligible,No match,No
TXD 00,TXD 00,Primary,Spectrum,600.0M x 35.0M,244.45,50.84.170.198,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
TXD00,TXD00,Primary,Spectrum,600.0M x 35.0M,172.23,50.84.170.198,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
TXD 28,TXD 28 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,NaN,Enabled,csv_import,Spectrum,600.0M x 35.0M,162.205.143.25,Spectrum,300.0M x 300.0M,98.6.99.58,Yes,Yes,Eligible,No match,No
TXD 50,TXD 50,Primary,Spectrum,600.0M x 35.0M,244.45,71.40.111.46,Enabled,csv_import,Private Customer - AT&T Internet Services,600.0M x 35.0M,107.143.177.97,Charter Communications Inc,300.0M x 300.0M,71.40.111.46,Yes,Yes,Eligible,No match,No
TXD 50,TXD 50 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,107.143.177.97,Enabled,csv_import,Private Customer - AT&T Internet Services,600.0M x 35.0M,107.143.177.97,Charter Communications Inc,300.0M x 300.0M,71.40.111.46,Yes,Yes,Eligible,No match,No
TXH00,TXH00,Primary,Comcast Workplace,300.0M x 30.0M,175.56,96.85.28.9,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
TXH00,TXH00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,162.201.19.73,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
TXH 23,TXH 23,Primary,Altice West,500.0M x 50.0M,222.23,66.76.13.154,Enabled,csv_import,Optimum,500.0M x 50.0M,66.76.13.154,Digi,Cell,192.168.2.100,Yes,Yes,Eligible,No match,No
TXH 43,TXH 43,Primary,Altice West,500.0M x 50.0M,222.23,208.180.223.58,Enabled,csv_import,"AT&T Enterprises, LLC",500.0M x 50.0M,108.249.194.9,Optimum,1000.0M x 1000.0M,208.180.223.58,Yes,Yes,Eligible,No match,No
TXH 48,TXH 48,Primary,Altice,500.0M x 50.0M,212.77,173.219.22.185,Enabled,csv_import,Optimum,500.0M x 50.0M,173.219.22.185,AT&T Cell,cell,192.168.2.131,Yes,Yes,Eligible,No match,No
