hostname,ip_address,position,model,serial_number,port_location,vendor,notes
,,FEX-108,N2K-C2232PP-10GE,FOC19110T51,"Fex-108 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",Cisco,
,,FEX-109,N2K-C2232PP-10GE,FOC19110RYM,"Fex-109 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",Cisco,
,,FEX-110,N2K-C2232PP-10GE,FOC19110RZJ,"Fex-110 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",Cisco,
,,FEX-111,N2K-C2232PP-10GE,FOC18275F2H,"Fex-111 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",Cisco,
,,FEX-112,N2K-C2232PP-10GE,FOC18275F8J,"Fex-112 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",Cisco,
,,FEX-113,N2K-C2248TP-1GE,JAF1416DDHJ,"Fex-113 Fabric Extender Module: 48x1GE, 4x10GE in FixedModule-1",Cisco,
,,FEX-114,N2K-C2248TP-1GE,JAF1416BLLC,"Fex-114 Fabric Extender Module: 48x1GE, 4x10GE in FixedModule-1",Cisco,
,,FEX-120,N2K-B22DELL-P,FOC16470GM1,"Fex-120 Fabric Extender Module: 16x10GE, 8x10GE in FixedModule-1",Cisco,
,,FEX-121,N2K-B22DELL-P,FOC16520U1R,"Fex-121 Fabric Extender Module: 16x10GE, 8x10GE in FixedModule-1",Cisco,
,,FEX-122,N2K-B22DELL-P,FOC16454DF7,"Fex-122 Fabric Extender Module: 16x10GE, 8x10GE in FixedModule-1",Cisco,
,,FEX-123,N2K-C2232PP-10GE,FOC18275F81,"Fex-123 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",Cisco,
,,FEX-124,N2K-C2232PP-10GE,FOC18275F9U,"Fex-124 Fabric Extender Module: 32x10GE, 8x10GE in FixedModule-1",Cisco,
,,FEX-125,N2K-B22DELL-P,FOC174624GD,"Fex-125 Fabric Extender Module: 16x10GE, 8x10GE in FixedModule-1",Cisco,
,,Module,N5K-C56128P,FOC22110X9M,Nexus 56128P Supervisor in Fixed Module-1,,
,,Module,N56-M24UP2Q,FOC18394S23,24 ports 10GE SFP+ and 2xQSFP ports Ethernet Module,,
,,Module,N56-M24UP2Q,FOC20210ELJ,24 ports 10GE SFP+ and 2xQSFP ports Ethernet Module,,
HQ-56128P-02,10.0.255.112,Parent Switch,N5K-C56128P,FOC1827R16P,,Cisco,
,,Module,N5K-C56128P,FOC18303653,Nexus 56128P Supervisor in Fixed Module-1,,
,,Module,N56-M24UP2Q,FOC182778Q6,24 ports 10GE SFP+ and 2xQSFP ports Ethernet Module,,
,,Module,N56-M24UP2Q,FOC183211E5,24 ports 10GE SFP+ and 2xQSFP ports Ethernet Module,,
HQ-7000-01-ADMIN,10.0.145.123,Standalone,N7K-C7010,TBM13322374,,Cisco,VDCs: ADMIN
,,Module,N7K-F312FQ-25,JAE191207AK,10/40 Gbps Ethernet Module,,
,,Module,N7K-SUP2E,JAF1825AQAN,Supervisor Module-2,,
,,Module,N7K-SUP2E,JAF1827ARNH,Supervisor Module-2,,
,,Module,N7K-F312FQ-25,JAE184905NJ,10/40 Gbps Ethernet Module,,
,,Module,N7K-F312FQ-25,JAE182305KD,10/40 Gbps Ethernet Module,,
,,Module,N7K-F248XP-25E,JAF1827AHFJ,1/10 Gbps Ethernet Module,,
,,Module,N7K-F248XP-25E,JAF1827AHET,1/10 Gbps Ethernet Module,,
,,Module,N7K-C7010-FAB-2,JAF1828ANTQ,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1812ALPP,Fabric card module,,
,,Module,N7K-C7010-FAB-2,JAF1828ANTN,Fabric card module,,
