site_name,record_number,circuit_purpose,provider_name,details_service_speed,status,manual_override,data_source
CAL 41,DISCOUNTCAL3023353692_BR,Primary,Spectrum,940.0M x 35.0M,Enabled,False,csv_import
CAL 41,DISCOUNTCAL5545427189_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAL 42,DISCOUNTCAL3338492125_BR,Primary,AT&T Broadband II,1000.0M x 1000.0M,Enabled,False,csv_import
CAL 43,DISCOUNTCAL8225948935_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 43,DISCOUNTCAL4885274459_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAL 44,DISCOUNTCAL9835329253_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 44,DISCOUNTCAL9746892828_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAL 46,DISCOUNTCAL4980789730_BR,Primary,EB2-Frontier Fiber,500.0M x 500.0M,Enabled,False,csv_import
CAL 47,DISCOUNTCAL6636593646_BR,Primary,One Ring Networks ,300.0M x 30.0M,Enabled,False,csv_import
CAL 47,DISCOUNTCAL8432355904_BR-I4,Secondary,EB2-Frontier Fiber,500.0M x 500.0M,Enabled,False,csv_import
CAL 48,DISCOUNTCAL5193413904_BR,Primary,Cox Business/BOI,300.0M x 30.0M,Enabled,False,csv_import
CAL 49,DISCOUNTCAL4806066000_BR,Primary,AT&T Broadband II,1000.0M x 1000.0M,Enabled,False,csv_import
CAL 49,DISCOUNTCAL5305346199_BR,Secondary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAL 50,DISCOUNTCAL4806066347_BR,Primary,EB2-Frontier Fiber,500.0M x 500.0M,Enabled,False,csv_import
CAL 50,DISCOUNTCAL8619679334_BR,Secondary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CALW01,DISCOUNTCAL9452950252_BR,Primary,EB2-Frontier Fiber,1000.0M x 1000.0M,Enabled,False,csv_import
CAN_00,,Primary,Comcast,,Enabled,False,Non-DSR
CAN_00,,Secondary,AT&T,,Enabled,False,Non-DSR
