hostname,ip_address,device_family,module_model
HQ-7000-02-CORE.dtc_phx.com,10.0.100.210,Cisco Other,N7K-F248XP-25E
HQ-7000-02-CORE.dtc_phx.com,10.0.100.210,Cisco Other,N7K-C7010-FAB-2
HQ-7000-02-EDGE.dtc_phx.com,10.0.100.201,Cisco Other,N7K-C7010-FAB-2
HQ-7000-02-EDGE.dtc_phx.com,10.0.100.201,Cisco Other,GLC-SX-MMD          
HQ-7000-02-EDGE.dtc_phx.com,10.0.100.201,Cisco Other,N7K-SUP2E
HQ-7000-02-EDGE.dtc_phx.com,10.0.100.201,Cisco Other,N7K-F312FQ-25
HQ-7000-02-EDGE.dtc_phx.com,10.253.253.3,Cisco Other,GLC-SX-MMD          
HQ-7000-02-EDGE.dtc_phx.com,10.253.253.3,Cisco Other,N7K-SUP2E
HQ-7000-02-EDGE.dtc_phx.com,10.0.100.201,Cisco Other,N7K-F248XP-25E
HQ-7000-02-EDGE.dtc_phx.com,10.253.253.3,Cisco Other,N7K-C7010-FAB-2
HQ-7000-02-EDGE.dtc_phx.com,10.253.253.3,Cisco Other,N7K-F248XP-25E
HQ-7000-02-EDGE.dtc_phx.com,10.253.253.3,Cisco Other,N7K-F312FQ-25
HQ-7000-02-PCI.dtc_phx.com,10.0.179.3,Cisco Other,GLC-SX-MMD          
HQ-7000-02-PCI.dtc_phx.com,10.0.179.3,Cisco Other,N7K-C7010-FAB-2
HQ-7000-02-PCI.dtc_phx.com,10.0.179.3,Cisco Other,N7K-F312FQ-25
HQ-7000-02-PCI.dtc_phx.com,10.0.179.3,Cisco Other,N7K-F248XP-25E
HQ-7000-02-PCI.dtc_phx.com,10.0.179.3,Cisco Other,N7K-SUP2E
HQ-ATT-DIA,192.168.255.15,Cisco Other,C8300-2N2S-4T2X
HQ-ATT-DIA,192.168.255.15,Cisco Other,C-NIM-1X
HQ-LUMEN-DIA,192.168.255.14,Cisco Other,C8300-2N2S-4T2X
HQ-LUMEN-DIA,192.168.255.14,Cisco Other,C-NIM-1X
HQ-MPLS-R1.dtc_phx.com,10.0.255.248,Cisco Other,GLC-SX-MMD          
HQ-MPLS-R1.dtc_phx.com,10.0.100.106,Cisco Other,GLC-SX-MMD          
HQ-MPLS-R1.dtc_phx.com,10.0.100.106,Cisco Other,C8300-1N1S-4T2X
HQ-MPLS-R1.dtc_phx.com,10.0.255.248,Cisco Other,C8300-1N1S-4T2X
HQ-VG350-01,172.16.4.50,Cisco Other,PVDM3-256      
HQ-VG350-01,172.16.4.50,Cisco Other,SM-D-48FXS-E
HQ-VG350-01,172.16.4.50,Cisco Other,VG350-SPE150/K9
HQ-VG350-02,172.16.4.51,Cisco Other,VG350-SPE150/K9
HQ-VG350-02,172.16.4.51,Cisco Other,PVDM3-256      
HQ-VG350-02,172.16.4.51,Cisco Other,SM-D-48FXS-E
MDF-3130-I9-StackA,10.0.255.51,Cisco Other,800-27645-02    
MDF-3130-I9-StackA,10.0.255.51,Cisco Other,800-27645-01    
MDF-3130-I9-StackB,10.0.255.52,Cisco Other,800-27645-02    
MDF-3130-I9-StackB,10.0.255.52,Cisco Other,800-27645-03    
MDF-3130-J9-ENC3-A.trtc,10.0.255.56,Cisco Other,800-27645-02    
MDF-3130-J9-ENC3-B.trtc,10.0.255.57,Cisco Other,800-27645-02    
MDF-3130-O3-ENC1-A,10.0.255.93,Cisco Other,800-27645-02    
MDF-3130-O3-ENC1-B,10.0.255.47,Cisco Other,800-27645-02    
svgw1.dtc_phx.com,10.0.99.254,Cisco Other,C3900-SPE250/K9
svgw1.dtc_phx.com,10.0.99.254,Cisco Other,PVDM3-64       
svgw3.dtc_phx.com,10.101.99.254,Cisco Other,C3900-SPE250/K9
svgw3.dtc_phx.com,10.101.99.254,Cisco Other,PVDM3-64       
svxcode1.dtc_phx.com,10.0.99.205,Cisco Other,PVDM3-256      
svxcode1.dtc_phx.com,10.0.99.205,Cisco Other,C3900-SPE150/K9
svxcode2.dtc_phx.com,10.101.99.205,Cisco Other,PVDM3-256      
svxcode2.dtc_phx.com,10.101.99.205,Cisco Other,C3900-SPE150/K9
svxgw1.dtc_phx.com,10.0.99.200,Cisco Other,C3900-SPE150/K9
svxgw1.dtc_phx.com,10.0.99.200,Cisco Other,PVDM3-64       
svxgw2.dtc_phx.com,10.0.99.201,Cisco Other,C3900-SPE150/K9
svxgw2.dtc_phx.com,10.0.99.201,Cisco Other,PVDM3-64       
svxgw3.dtc_phx.com,10.101.99.200,Cisco Other,PVDM3-64       
svxgw3.dtc_phx.com,10.101.99.200,Cisco Other,C3900-SPE150/K9
svxgw4.dtc_phx.com,10.101.99.201,Cisco Other,PVDM3-64       
svxgw4.dtc_phx.com,10.101.98.201,Cisco Other,PVDM3-64       
svxgw4.dtc_phx.com,10.101.99.201,Cisco Other,C3900-SPE150/K9
svxgw4.dtc_phx.com,10.101.98.201,Cisco Other,C3900-SPE150/K9
