Site Name,Confidence Score,Status,Reasons,WAN1 Provider,WAN1 Role,WAN1 IP,WAN1 ARIN,WAN2 Provider,WAN2 Role,WAN2 IP,WAN2 ARIN,DSR Primary Provider,DSR Primary IP,DSR Secondary Provider,DSR Secondary IP
GAA 36,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.232.191.161,AT&T,Comcast Workplace,Secondary,96.94.172.105,Comcast,Comcast Workplace,96.94.172.105,AT&T Broadband II,108.232.191.161
GAA 37,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,107.222.170.169,AT&T,Comcast Workplace,Secondary,173.160.71.21,Comcast,Comcast Workplace,173.160.71.21,AT&T Broadband II,107.222.170.169
GAA 40,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.184.149.249,AT&T,Comcast Workplace,Secondary,50.243.202.233,Comcast,Comcast Workplace,50.243.202.233,AT&T Broadband II,104.184.149.249
GAA 45,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,AT&T Broadband II,Primary,99.28.20.49,AT&T,Mediacom/BOI,Secondary,192.119.222.34,Mediacom Communications Corporation,Mediacom/BOI,192.119.222.34,AT&T Broadband II,99.28.20.49
GAA 46,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,Mediacom/BOI,Primary,108.166.159.78,Mediacom Communications Corporation,AT&T Broadband II,Secondary,99.14.165.1,AT&T,AT&T Broadband II,99.14.165.1,Mediacom/BOI,108.166.159.78
GAS 01,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,AT&T Broadband II,Primary,99.27.27.161,AT&T,Mediacom Communications Corporation,Secondary,74.84.120.114,Mediacom Communications Corporation,Mediacom/BOI,74.84.120.114,AT&T Broadband II,99.27.27.161
IAD 02,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,MetroNet,Primary,149.154.7.70,Metronet,Mediacom Communications Corporation,Secondary,72.255.109.246,Mediacom Communications Corporation,Mediacom/BOI,72.255.109.246,MetroNet,149.154.7.70
IAF 01,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,Fort Dodge Fiber,Primary,64.59.201.241,Fort Dodge Fiber,Mediacom Communications Corporation,Secondary,198.40.226.150,Mediacom Communications Corporation,Mediacom/BOI,198.40.226.150,Fort Dodge Fiber,64.59.201.241
IAI 01,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,Metronet,Primary,46.110.90.149,Metronet,Mediacom Communications Corporation,Secondary,104.201.99.58,Mediacom Communications Corporation,Mediacom/BOI,104.201.99.58,Metronet,46.110.90.149
IAS 01,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,MetroNet,Primary,149.154.3.162,Metronet,Sparklight,Secondary,24.119.182.98,"CABLE ONE, INC.",Sparklight,24.119.182.98,MetroNet,149.154.3.162
IDB 04,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,EB2-CableOne Cable,Primary,72.24.12.254,"CABLE ONE, INC.",CenturyLink Fiber Plus,Secondary,65.140.187.146,CenturyLink,CenturyLink Fiber Plus,65.140.187.146,EB2-CableOne Cable,72.24.12.254
IDB 06,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider,Direct Communications,Primary,67.215.46.242,Direct Communications Cable LLC,EB2-CableOne Cable,Secondary,24.116.129.22,"CABLE ONE, INC.",EB2-CableOne Cable,24.116.129.22,Direct Communications,67.215.46.242
ILC 03,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.18.8.41,AT&T,Comcast Workplace,Secondary,173.15.46.121,Comcast,Comcast Workplace,173.15.46.121,AT&T Broadband II,99.18.8.41
ILC 07,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,99.35.135.153,AT&T,Comcast Workplace,Secondary,96.81.204.185,Comcast,Comcast Workplace,96.81.204.185,AT&T Broadband II,99.35.135.153
ILC 17,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,162.197.251.173,AT&T,Comcast Workplace,Secondary,162.17.19.41,Comcast,Comcast Workplace,162.17.19.41,AT&T Broadband II,162.197.251.169
