Site Name,Interface,Status,DSR Provider,ARIN Provider,Match,Action Taken
CAS 10,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAS 11,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAS 12,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAS 15,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAS 16,WAN1,MATCH,Cox Business,Cox Communications,Yes,Updated
CAS 17,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
CAS 19,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
CAS 20,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAS 21,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAS 22,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
CAS 23,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAS 27,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
CAS 31,WAN1,MATCH,Frontier Fios,Frontier Communications,Yes,Updated
CAS 32,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAS 33,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAS 35,WAN1,MATCH,Frontier,Frontier Communications,Yes,Updated
CAS 36,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAS 37,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
CAS 40,WAN1,MATCH,Frontier,Frontier Communications,Yes,Updated
CAS 41,WAN1,MATCH,Frontier,Frontier Communications,Yes,Updated
CAS 43,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAS 46,WAN1,MATCH,AT&T,AT&T,Yes,Updated
CAS 47,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAS 49,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAS 51,WAN1,MATCH,Cox Business/BOI ,Cox Communications,Yes,Updated
CAS 53,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
COB 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 01,WAN1,MATCH,Comcast,Comcast,Yes,Updated
COD 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 03,WAN1,MATCH,Comcast,Comcast,Yes,Updated
COD 04,WAN1,MATCH,Comcast Workplace,Comcast Cable Communications,Yes,Updated
COD 05,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 06,WAN1,MATCH,Lumen,CenturyLink,Yes,Updated
COD 07,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 08,WAN1,MATCH,Comcast,Comcast,Yes,Updated
COD 09,WAN1,MATCH,Comcast,Comcast,Yes,Updated
COD 10,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 11,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 13,WAN1,MATCH,Comcast,Comcast,Yes,Updated
COD 14,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 18,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 19,WAN1,MATCH,CenturyLink Fiber Plus,CenturyLink,Yes,Updated
COD 20,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 21,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 24,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 25,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 26,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 27,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 29,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 30,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 32,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 34,WAN1,MATCH,Lumen/Qwest,CenturyLink,Yes,Updated
COD 36,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 37,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 39,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 40,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COD 42,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COG 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
Cog 02,WAN1,MATCH,Comcast,Comcast,Yes,Updated
COG 03,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CON 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COP 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COP 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COS 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COS 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COS 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COS 04,WAN1,MATCH,CenturyLink Fiber Plus,CenturyLink,Yes,Updated
COS 06,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COS 07,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
COW 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
COW 02,WAN1,MATCH,Elevate Internet,ELEVATE,Yes,Updated
FLD 01,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
FLD 02,WAN1,MATCH,Spectrum,"Charter Communications, Inc",Yes,Updated
FLD 04,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
FLF 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
FLG 01,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
FLG 03,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
FLJ 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
FLJ 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
FLJ 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
FLJ 05,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
FLJ 07,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
FLJ 10,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
FLJ 11,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
FLJ 12,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
FLM 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
