hostname,ip_address,component_type,model,serial_number,description,name,stack_position
IDF1B-4510-SW2.trtc.com,10.0.255.124,SFP/Transceiver,WS-X45-SUP8-E,CAT2023L1L8,"Sup 8-E 10GE (SFP+), 1000BaseX (SFP) with 8 SFP+ Ports",Supervisor(slot 6),
IDF1B-4510-SW2.trtc.com,10.0.255.124,SFP/Transceiver,SFP-10G-SR,AVD2123AG2A,SFP-10Gbase-SR,TenGigabitEthernet6/1,
IDF1B-4510-SW2.trtc.com,10.0.255.124,SFP/Transceiver,SFP-10G-SR,FNS21250ERR,SFP-10Gbase-SR,TenGigabitEthernet6/2,
IDF1C-9410-SW.trtc.com,10.0.255.61,Chassis,C9410R,FXS2232Q00R,Cisco Catalyst 9400 Series 10 Slot Chassis,Chassis,Standalone
IDF1C-9410-SW.trtc.com,10.0.255.61,Module,C9400-LC-48P,JAE22310F8W,Cisco Catalyst 9400 Series 48-Port POE+ 10/100/1000 (RJ-45),Slot 1 Linecard,
IDF1C-9410-SW.trtc.com,10.0.255.61,Module,C9400-LC-48P,JAE22320JRF,Cisco Catalyst 9400 Series 48-Port POE+ 10/100/1000 (RJ-45),Slot 2 Linecard,
IDF1C-9410-SW.trtc.com,10.0.255.61,Module,C9400-LC-48P,JAE22380JCT,Cisco Catalyst 9400 Series 48-Port POE+ 10/100/1000 (RJ-45),Slot 3 Linecard,
IDF1C-9410-SW.trtc.com,10.0.255.61,Module,C9400-LC-48P,JAE22380SPT,Cisco Catalyst 9400 Series 48-Port POE+ 10/100/1000 (RJ-45),Slot 4 Linecard,
IDF1C-9410-SW.trtc.com,10.0.255.61,Module,C9400-SUP-1XL,JAE223409C3,Cisco Catalyst 9400 Series Supervisor 1 XL Module,Slot 5 Supervisor,
IDF1C-9410-SW.trtc.com,10.0.255.61,Module,C9400-SUP-1XL,JAE223409DL,Cisco Catalyst 9400 Series Supervisor 1 XL Module,Slot 6 Supervisor,
IDF1C-9410-SW.trtc.com,10.0.255.61,Module,C9400-LC-48P,JAE22380TBN,Cisco Catalyst 9400 Series 48-Port POE+ 10/100/1000 (RJ-45),Slot 7 Linecard,
IDF1C-9410-SW.trtc.com,10.0.255.61,Module,C9400-LC-48P,JAE22380SPS,Cisco Catalyst 9400 Series 48-Port POE+ 10/100/1000 (RJ-45),Slot 8 Linecard,
IDF1C-9410-SW.trtc.com,10.0.255.61,Module,C9400-LC-48P,JAE22380SLE,Cisco Catalyst 9400 Series 48-Port POE+ 10/100/1000 (RJ-45),Slot 9 Linecard,
IDF1C-9410-SW.trtc.com,10.0.255.61,Module,C9400-LC-48P,JAD2350022B,Cisco Catalyst 9400 Series 48-Port POE+ 10/100/1000 (RJ-45),Slot 10 Linecard,
IDF1C-9410-SW.trtc.com,10.0.255.61,Power Supply,C9400-PWR-3200AC,DTM223204RU,Cisco Catalyst 9400 Series 3200W AC Power Supply,Power Supply Module 1,
IDF1C-9410-SW.trtc.com,10.0.255.61,Power Supply,C9400-PWR-3200AC,DTM2220012W,Cisco Catalyst 9400 Series 3200W AC Power Supply,Power Supply Module 2,
IDF1C-9410-SW.trtc.com,10.0.255.61,Fan,C9410-FAN,FXS2231Q1HN,Cisco Catalyst 9400 Series 10 Slot Chassis Fan Tray,Fan Tray,
IDF1C-9410-SW.trtc.com,10.0.255.61,SFP/Transceiver,SFP-10G-SR,FNS222205LM,SFP+ 10GBASE-SR,TenGigabitEthernet5/0/1,
IDF1C-9410-SW.trtc.com,10.0.255.61,SFP/Transceiver,SFP-10G-SR,FNS22211BPF,SFP+ 10GBASE-SR,TenGigabitEthernet5/0/2,
IDF1C-9410-SW.trtc.com,10.0.255.61,SFP/Transceiver,SFP-10G-SR,FNS222205KV,SFP+ 10GBASE-SR,TenGigabitEthernet6/0/1,
IDF1C-9410-SW.trtc.com,10.0.255.61,SFP/Transceiver,SFP-10G-SR,SPC141103D9,SFP+ 10GBASE-SR,TenGigabitEthernet6/0/2,
