Site Name,Circuit Purpose,Status,IP Address,Circuits Table Provider,Circuits Table Speed,Enriched Network Name,Enriched Provider,Enriched Speed,DSR Provider,DSR Speed,Has Meraki Notes,Notes Preview
AZP 01,Primary,Enabled,24.250.126.75,Cox Business/BOI,300.0M x 30.0M,AZP 01,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 2
Verizon Business..."
AZP 01,Secondary,Order Canceled,NaN,Cox Business/BOI,300.0M x 30.0M,AZP 01,Verizon Business,Cell,,,Yes,"WAN 2
Verizon Business..."
AZP 03,Primary,Order Canceled,NaN,Cox Business/BOI,100.0M x 20.0M,AZP 03,Cox Business BOI,300.0M x 30.0M,,,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZP 03,Secondary,Enabled,98.190.154.148,Cox Business/BOI,300.0M x 30.0M,AZP 03,Digi,Cell,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZP 05,Primary,Enabled,72.216.209.162,Cox Business/BOI,300.0M x 30.0M,AZP 05,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business/BOI
300.0M x 30.0M
WAN 2
Starlink
Satellite..."
AZP 05,Secondary,Order Canceled,NaN,EB2-Centurylink DSL,80.0M x 10.0M,AZP 05,Starlink,Satellite,,,Yes,"WAN 1
Cox Business/BOI
300.0M x 30.0M
WAN 2
Starlink
Satellite..."
AZP 07,Primary,Enabled,184.186.205.106,Cox Business/BOI,300.0M x 30.0M,AZP 07,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business/BOI
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
AZP 07,Secondary,Order Canceled,NaN,NaN,,AZP 07,VZW Cell,Cell,,,Yes,"WAN 1
Cox Business/BOI
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
AZP 08,Primary,Enabled,68.15.185.94,Cox Business/BOI,300.0M x 30.0M,AZP 08,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business/BOI
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
AZP 08,Secondary,Order Canceled,NaN,Lumen DIA Ethernet,100.0M x 100.0M,AZP 08,VZW Cell,Cell,,,Yes,"WAN 1
Cox Business/BOI
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
