site_id,site_name,primary_provider,primary_ip,primary_bandwidth
CAN 49,CAN 49,AT&T Broadband II,162.225.215.145,1000.0M x 1000.0M
CAN 50,CAN 50,Comcast Workplace,66.208.212.153,250.0M x 25.0M
CAN 51,CAN 51,Spectrum,47.47.86.246,600.0M x 35.0M
CAN 52,CAN 52,Consolidated Communications,66.60.178.178,300.0M x 300.0M
CAN 53,CAN 53,Comcast Workplace,96.86.129.253,250.0M x 25.0M
CAN 54,CAN 54,AT&T Broadband II,75.36.6.121,300.0M x 300.0M
CAN 56,CAN 56,Comcast Workplace,96.82.117.145,250.0M x 25.0M
CAN 57,CAN 57,AT&T Broadband II,99.87.224.225,1000.0M x 1000.0M
CAN 58,CAN 58,Comcast Workplace,75.150.3.233,250.0M x 25.0M
CAN 60,CAN 60,AT&T Broadband II,104.49.8.113,1000.0M x 200.0M
CAN 61,CAN 61,AT&T Broadband II,104.11.46.81,1000.0M x 1000.0M
CAO 03,CAO 03,GTT Ethernet,47.180.218.74,50.0M x 10.0M
CAO 05,CAO 05,AT&T Broadband II,108.80.87.129,1000.0M x 1000.0M
CAO 06,CAO 06,Cox Business/BOI,98.189.252.131,300.0M x 30.0M
CAS00,CAS00,Cox Business/BOI,98.178.226.110,300.0M x 30.0M
CAS 01,CAS 01,Cox Business/BOI,184.181.27.110,300.0M x 30.0M
CAS 03,CAS 03,Cox Business/BOI,68.15.1.105,300.0M x 30.0M
CAS 04,CAS 04,Cox Business/BOI,68.15.27.103,300.0M x 30.0M
CAS 05,CAS 05,Cox Business/BOI,98.186.226.135,300.0M x 30.0M
CAS 06,CAS 06,AT&T Broadband II,107.141.97.225,1000.0M x 1000.0M
CAS 07,CAS 07,AT&T Broadband II,162.196.236.73,300.0M x 300.0M
CAS 08,CAS 08,Cox Business/BOI,70.166.8.50,300.0M x 30.0M
CAS 09,CAS 09,Cox Business/BOI,98.178.227.93,300.0M x 30.0M
CAS 10 -B,CAS 10,AT&T Broadband II,108.80.216.1,1000.0M x 1000.0M
CAS 11,CAS 11,AT&T Broadband II,68.94.116.201,1000.0M x 200.0M
CAS 12,CAS 12,AT&T Broadband II,104.9.51.57,1000.0M x 1000.0M
CAS 13,CAS 13,Cox Business/BOI,174.67.169.247,300.0M x 30.0M
CAS 14,CAS 14,Cox Business/BOI,68.105.244.238,300.0M x 30.0M
CAS 15,CAS 15,AT&T Broadband II,108.201.145.89,1000.0M x 1000.0M
CAS 16,CAS 16,Cox Business,98.173.33.135,1000.0M x 35.0M
CAS 17,CAS 17,Cox Business/BOI,68.15.26.234,300.0M x 30.0M
CAS 18,CAS 18,Cox Business/BOI,68.105.250.171,300.0M x 30.0M
CAS 19,CAS 19,Cox Business/BOI,98.173.43.218,300.0M x 30.0M
CAS 20,CAS 20,Spectrum,76.83.53.58,200.0M x 10.0M
CAS 21,CAS 21,Spectrum,76.53.129.210,600.0M x 35.0M
CAS 22,CAS 22,Cox Business/BOI,98.189.80.12,300.0M x 30.0M
CAS 23,CAS 23,Spectrum,76.53.240.54,600.0M x 35.0M
CAS 24,CAS 24,Spectrum,173.198.38.138,600.0M x 35.0M
CAS 25,CAS 25,Spectrum,24.43.80.98,940.0M x 35.0M
CAS 27,CAS 27,Cox Business/BOI,98.189.219.228,300.0M x 30.0M
CAS 28,CAS 28,Cox Business/BOI,68.15.9.83,300.0M x 30.0M
CAS 31,CAS 31,Frontier Fios,47.180.146.117,500.0M x 500.0M
CAS 32,CAS 32,Spectrum,98.153.138.150,600.0M x 35.0M
CAS 33,CAS 33,Spectrum,98.153.179.158,600.0M x 35.0M
CAS 34,CAS 34,Cox Business/BOI,68.15.15.104,300.0M x 30.0M
CAS 36,CAS 36,Spectrum,76.81.227.222,600.0M x 35.0M
CAS 37,CAS 37,Cox Business/BOI,184.189.109.141,300.0M x 30.0M
CAS 38,CAS 38,Cox Business/BOI,184.189.110.7,300.0M x 30.0M
CAS 39,CAS 39,Spectrum,173.198.38.142,600.0M x 35.0M
CAS 43,CAS 43,Spectrum,69.75.186.178,600.0M x 35.0M
CAS 44,CAS 44,Spectrum,69.75.66.142,600.0M x 35.0M
CAS 47,CAS 47,AT&T Broadband II,99.47.87.137,1000.0M x 200.0M
CAS 48,CAS 48,EB2-Frontier Fiber,47.180.235.173,500.0M x 500.0M
CAS 49,CAS 49,Spectrum,76.53.67.30,600.0M x 35.0M
CAS 50,CAS 50,GTT Ethernet,47.180.196.75,50.0M x 10.0M
CAS 51,CAS 51,Cox Business/BOI ,68.15.20.182,300.0M x 30.0M
CAS 53,CAS 53,AT&T Broadband II,75.60.234.33,2000.0M x 2000.0M
COB 01,COB 01,Comcast Workplace,50.211.228.33,600.0M x 35.0M
COD00,COD00,Comcast Workplace,173.164.63.45,600.0M x 35.0M
COD 02,COD 02,Comcast Workplace,96.76.171.13,250.0M x 25.0M
COD 04,COD 04,Comcast Workplace,50.190.67.161,600.0M x 35.0M
