Site Name,WAN Port,Provider,Speed,Circuit Role,Confirmed,Speed Status,Device Tags,Last Updated
KSK 01,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
KSK 01,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
KSK_00,WAN1,Charter Communications,600.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
KSK_00,WAN2,AT&T,300.0 M,Secondary,True,CORRUPTED,,2025-07-07 11:46:47.102071
MIA 17,WAN1,D & P Communications,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MIA 17,WAN2,Comcast,1000.0M x 500.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 05,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 05,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 07,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 07,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 09,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 09,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 13,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 13,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 14,WAN1,AT&T Broadband II,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 14,WAN2,Comcast,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 16,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 16,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 17,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 17,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 18,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 18,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 19,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 19,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MID 24,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MID 24,WAN2,AT&T Broadband II,300.0M x 300.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MIF 04,WAN1,AT&T Broadband II,1000.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:54.544083
MIF 04,WAN2,Comcast,1000.0M x 1000.0M,Secondary,True,OK,,2025-07-07 11:46:54.544083
MIF 05,WAN1,Comcast,300.0 M,Primary,True,CORRUPTED,,2025-07-07 11:46:47.102071
