site_name,circuit_purpose,provider_name,speed_original,speed_corrected,ip_address,arin_provider,wan_interface,source,status,last_updated,needs_speed_fix,billing_monthly_cost,contract_start_date,contract_term,early_termination_fee
NMA 10,Secondary,VZW Cell,Cell,Cell,166.248.7.28,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NMACALLCNTR,Primary,"Comcast Cable Communications, LLC",,,74.92.206.225,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NVL_00,Primary,Cox Communications,,,24.234.187.243,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NVL_00,Secondary,Digi,Cell,Cell,107.84.130.99,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NVL 16,Primary,VZW Cell,Cell,Cell,174.205.97.122,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NVL 16,Secondary,Digi,Cell,Cell,166.184.129.138,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NVL W01,Primary,Cox Communications,,,24.120.171.73,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NVRB04,Primary,TEST STORE NOT PRODUCTION,,,67.40.71.2,CenturyLink,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 01,Primary,DUNN TIRE,,,208.105.133.178,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 01,Secondary,"AT&T Enterprises, LLC",,,107.127.197.80,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 02,Primary,DUNN TIRE,,,50.75.0.218,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 02,Secondary,VZW Cell,Cell,Cell,71.186.165.101,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 03,Primary,DUNN TIRE,,,50.75.1.218,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 03,Secondary,"AT&T Enterprises, LLC",,,107.127.197.93,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 04,Primary,DUNN TIRE,,,50.75.1.162,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 04,Secondary,"AT&T Enterprises, LLC",,,107.127.197.81,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 05,Primary,DUNN TIRE,,,50.75.1.226,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 05,Secondary,"AT&T Enterprises, LLC",,,107.127.197.95,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 06,Primary,DUNN TIRE,,,208.105.133.130,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 06,Secondary,"AT&T Enterprises, LLC",,,107.127.197.71,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
NYB 07,Primary,DUNN TIRE,,,50.75.0.74,Charter Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
